Sample,Time,Decoder,Ann Row,Ann Class,Value
1259319,52.472 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1259397,52.475 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1259477,52.478 ms,USB packet,Packets,Packet: ACK,ACK
1272470,53.020 ms,USB packet,Packets,Packet: SOF,SOF 392
1272548,53.023 ms,USB packet,Packets,Packet: PRE,PRE
1272588,53.025 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
1296479,54.020 ms,USB packet,Packets,Packet: SOF,SOF 393
1320488,55.020 ms,USB packet,Packets,Packet: SOF,SOF 394
1344496,56.021 ms,USB packet,Packets,Packet: SOF,SOF 395
1368505,57.021 ms,USB packet,Packets,Packet: SOF,SOF 396
1392514,58.021 ms,USB packet,Packets,Packet: SOF,SOF 397
1416523,59.022 ms,USB packet,Packets,Packet: SOF,SOF 398
1440532,60.022 ms,USB packet,Packets,Packet: SOF,SOF 399
1458273,60.761 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
